SEXE;1) Man 2) Woman
QFIN_10c;Number of 10 cents coins minted in Finland contained in the wallet
QFIN_20c;Number of 20 cents coins minted in Finland contained in the wallet
QFIN_50c;Number of 50 cents coins minted in Finland contained in the wallet
QFIN_1e;Number of 1 euro coins minted in Finland contained in the wallet
QFIN_2e;Number of 2 euros coins minted in Finland contained in the wallet
QGRE_1c;Number of 01 cent coins minted in Greece contained in the wallet
QGRE_2c;Number of 02 cents coins minted in Greece contained in the wallet
QGRE_5c;Number of 05 cents coins minted in Greece contained in the wallet
QGRE_10c;Number of 10 cents coins minted in Greece contained in the wallet
QGRE_20c;Number of 20 cents coins minted in Greece contained in the wallet
QGRE_50c;Number of 50 cents coins minted in Greece contained in the wallet
QGRE_1e;Number of 1 euro coins minted in Greece contained in the wallet
QGRE_2e;Number of 2 euros coins minted in Greece contained in the wallet
QIRL_1c;Number of 01 cent coins minted in Ireland contained in the wallet
QIRL_2c;Number of 02 cents coins minted in Ireland contained in the wallet
QIRL_5c;Number of 05 cents coins minted in Ireland contained in the wallet
QIRL_10c;Number of 10 cents coins minted in Ireland contained in the wallet
QIRL_20c;Number of 20 cents coins minted in Ireland contained in the wallet
QIRL_50c;Number of 50 cents coins minted in Ireland contained in the wallet
QIRL_1e;Number of 1 euro coins minted in Ireland contained in the wallet
QIRL_2e;Number of 2 euros coins minted in Ireland contained in the wallet
QITA_1c;Number of 01 cent coins minted in Italy contained in the wallet
QITA_2c;Number of 02 cents coins minted in Italy contained in the wallet
QITA_5c;Number of 05 cents coins minted in Italy contained in the wallet
QITA_10c;Number of 10 cents coins minted in Italy contained in the wallet
QITA_20c;Number of 20 cents coins minted in Italy contained in the wallet
QITA_50c;Number of 50 cents coins minted in Italy contained in the wallet
QITA_1e;Number of 1 euro coins minted in Italy contained in the wallet
QITA_2e;Number of 2 euros coins minted in Italy contained in the wallet
QLUX_1c;Number of 01 cent coins minted in Luxembourg contained in the wallet
QLUX_2c;Number of 02 cents coins minted in Luxembourg contained in the wallet
QLUX_5c;Number of 05 cents coins minted in Luxembourg contained in the wallet
QLUX_10c;Number of 10 cents coins minted in Luxembourg contained in the wallet
QLUX_20c;Number of 20 cents coins minted in Luxembourg contained in the wallet
QLUX_50c;Number of 50 cents coins minted in Luxembourg contained in the wallet
QLUX_1e;Number of 1 euro coins minted in Luxembourg contained in the wallet
QLUX_2e;Number of 2 euros coins minted in Luxembourg contained in the wallet
QPAYB_1c;Number of 01 cent coins minted in The Netherlands contained in the wallet
QPAYB_2c;Number of 02 cents coins minted in The Netherlands contained in the wallet
QPAYB_5c;Number of 05 cents coins minted in The Netherlands contained in the wallet
QPAYB_10c;Number of 10 cents coins minted in The Netherlands contained in the wallet
QPAYB_20c;Number of 20 cents coins minted in The Netherlands contained in the wallet
QPAYB_50c;Number of 50 cents coins minted in The Netherlands contained in the wallet
QPAYB_1e;Number of 1 euro coins minted in The Netherlands contained in the wallet
QPAYB_2e;Number of 2 euros coins minted in The Netherlands contained in the wallet
QPOR_1c;Number of 01 cent coins minted in Portugal contained in the wallet
QPOR_2c;Number of 02 cents coins minted in Portugal contained in the wallet
QPOR_5c;Number of 05 cents coins minted in Portugal contained in the wallet
QPOR_10c;Number of 10 cents coins minted in Portugal contained in the wallet
QPOR_20c;Number of 20 cents coins minted in Portugal contained in the wallet
QPOR_50c;Number of 50 cents coins minted in Portugal contained in the wallet
QPOR_1e;Number of 1 euro coins minted in Portugal contained in the wallet
QPOR_2e;Number of 2 euros coins minted in Portugal contained in the wallet
